rank,title,release_year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Godfather: Part II,1974
4,The Dark Knight,2008
5,12 Angry Men,1957
6,Schindler's List,1993
7,The Lord of the Rings: The Return of the King,2003
8,Pulp Fiction,1994
9,"Il buono, il brutto, il cattivo",1966
10,Fight Club,1999
11,The Lord of the Rings: The Fellowship of the Ring,2001
12,Forrest Gump,1994
13,Star Wars: Episode V - The Empire Strikes Back,1980
14,Inception,2010
15,The Lord of the Rings: The Two Towers,2002
16,One Flew Over the Cuckoo's Nest,1975
17,Goodfellas,1990
18,The Matrix,1999
19,Shichinin no samurai,1954
20,Cidade de Deus,2002
21,Se7en,1995
22,Star Wars,1977
23,The Silence of the Lambs,1991
24,It's a Wonderful Life,1946
25,La vita è bella,1997
26,The Usual Suspects,1995
27,Sen to Chihiro no kamikakushi,2001
28,Saving Private Ryan,1998
29,Léon,1994
30,The Green Mile,1999
31,Interstellar,2014
32,Psycho,1960
33,American History X,1998
34,City Lights,1931
35,Once Upon a Time in the West,1968
36,Casablanca,1942
37,Modern Times,1936
38,The Intouchables,2011
39,The Pianist,2002
40,The Departed,2006
41,Terminator 2: Judgment Day,1991
42,Back to the Future,1985
43,Whiplash,2014
44,Rear Window,1954
45,Raiders of the Lost Ark,1981
46,Gladiator,2000
47,The Lion King,1994
48,The Prestige,2006
49,Apocalypse Now,1979
50,Memento,2000
51,Avengers: Infinity War,2018
52,Alien,1979
53,The Great Dictator,1940
54,Nuovo Cinema Paradiso,1988
55,Hotaru no haka,1988
56,Sunset Blvd.,1950
57,The Lives of Others,2006
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
59,Paths of Glory,1957
60,The Shining,1980
61,Django Unchained,2012
62,WALL·E,2008
63,Mononoke-hime,1997
64,Witness for the Prosecution,1957
65,American Beauty,1999
66,The Dark Knight Rises,2012
67,Oldeuboi,2003
68,Coco,2017
69,Aliens,1986
70,Once Upon a Time in America,1984
71,Das Boot,1981
72,Citizen Kane,1941
73,Braveheart,1995
74,Vertigo,1958
75,North by Northwest,1959
76,Reservoir Dogs,1992
77,Star Wars: Episode VI - Return of the Jedi,1983
78,Kimi no na wa.,2016
79,M - Eine Stadt sucht einen Mörder,1931
80,Dangal,2016
81,Requiem for a Dream,2000
82,Amadeus,1984
83,Taare Zameen Par,2007
84,Lawrence of Arabia,1962
85,Eternal Sunshine of the Spotless Mind,2004
86,A Clockwork Orange,1971
87,Amélie,2001
88,Double Indemnity,1944
89,3 Idiots,2009
90,2001: A Space Odyssey,1968
91,Toy Story,1995
92,Taxi Driver,1976
93,Singin' in the Rain,1952
94,Full Metal Jacket,1987
95,Inglourious Basterds,2009
96,To Kill a Mockingbird,1962
97,Ladri di biciclette,1948
98,The Kid,1921
99,The Sting,1973
100,Toy Story 3,2010
101,Good Will Hunting,1997
102,Jagten,2012
103,Snatch,2000
104,Monty Python and the Holy Grail,1975
105,Scarface,1983
106,Per qualche dollaro in più,1965
107,L.A. Confidential,1997
108,The Apartment,1960
109,Metropolis,1927
110,Jodaeiye Nader az Simin,2011
111,Indiana Jones and the Last Crusade,1989
112,Rashômon,1950
113,Up,2009
114,All About Eve,1950
115,Yôjinbô,1961
116,Batman Begins,2005
117,Some Like It Hot,1959
118,Unforgiven,1992
119,Der Untergang,2004
120,The Treasure of the Sierra Madre,1948
121,Die Hard,1988
122,Heat,1995
123,Ikiru,1952
124,Raging Bull,1980
125,Incendies,2010
126,The Great Escape,1963
127,Babam ve Oglum,2005
128,Bacheha-Ye aseman,1997
129,Pan's Labyrinth,2006
130,The Third Man,1949
131,Chinatown,1974
132,Tonari no Totoro,1988
133,Ran,1985
134,Hauru no ugoku shiro,2004
135,Judgment at Nuremberg,1961
136,El secreto de sus ojos,2009
137,The Gold Rush,1925
138,The Bridge on the River Kwai,1957
139,"Three Billboards Outside Ebbing, Missouri",2017
140,A Beautiful Mind,2001
141,On the Waterfront,1954
142,"Lock, Stock and Two Smoking Barrels",1998
143,Casino,1995
144,Det sjunde inseglet,1957
145,Inside Out,2015
146,Room,2015
147,The Elephant Man,1980
148,Mr. Smith Goes to Washington,1939
149,The Wolf of Wall Street,2013
150,V for Vendetta,2005
151,Warrior,2011
152,Blade Runner,1982
153,The General,1926
154,Smultronstället,1957
155,Dial M for Murder,1954
156,Trainspotting,1996
157,No Country for Old Men,2007
158,There Will Be Blood,2007
159,The Sixth Sense,1999
160,Gone with the Wind,1939
161,The Thing,1982
162,Fargo,1996
163,Gran Torino,2008
164,The Deer Hunter,1978
165,Finding Nemo,2003
166,Idi i smotri,1985
167,Sherlock Jr.,1924
168,The Big Lebowski,1998
169,Kill Bill: Vol. 1,2003
170,Shutter Island,2010
171,Cool Hand Luke,1967
172,Rebecca,1940
173,Tôkyô monogatari,1953
174,A Star Is Born,2018
175,Hacksaw Ridge,2016
176,Mary and Max,2009
177,Sunrise: A Song of Two Humans,1927
178,Gone Girl,2014
179,How to Train Your Dragon,2010
180,Relatos salvajes,2014
181,Jurassic Park,1993
182,Into the Wild,2007
183,Eskiya,1996
184,Life of Brian,1979
185,It Happened One Night,1934
186,In the Name of the Father,1993
187,Platoon,1986
188,The Grand Budapest Hotel,2014
189,Stand by Me,1986
190,The Truman Show,1998
191,Network,1976
192,Stalker,1979
193,Hotel Rwanda,2004
194,Ben-Hur,1959
195,Persona,1966
196,Salinui chueok,2003
197,12 Years a Slave,2013
198,Andrei Rublev,1966
199,Le salaire de la peur,1953
200,Million Dollar Baby,2004
201,Rang De Basanti,2006
202,La passion de Jeanne d'Arc,1928
203,Rush,2013
204,Mad Max: Fury Road,2015
205,Before Sunrise,1995
206,Les quatre cents coups,1959
207,Spotlight,2015
208,Hachi: A Dog's Tale,2009
209,Logan,2017
210,Prisoners,2013
211,Amores perros,2000
212,The Princess Bride,1987
213,Kaze no tani no Naushika,1984
214,Catch Me If You Can,2002
215,Butch Cassidy and the Sundance Kid,1969
216,Harry Potter and the Deathly Hallows: Part 2,2011
217,Rocky,1976
218,Barry Lyndon,1975
219,"Monsters, Inc.",2001
220,The Grapes of Wrath,1940
221,The Maltese Falcon,1941
222,Les diaboliques,1955
223,Donnie Darko,2001
224,Sanjuro,1962
225,The Terminator,1984
226,Gandhi,1982
227,Dead Poets Society,1989
228,La haine,1995
229,Groundhog Day,1993
230,Blade Runner 2049,2017
231,La La Land,2016
232,Le notti di Cabiria,1957
233,The Wizard of Oz,1939
234,Jaws,1975
235,The Help,2011
236,Faa yeung nin wa,2000
237,Paper Moon,1973
238,Gangs of Wasseypur,2012
239,Mandariinid,2013
240,Before Sunset,2004
241,A Wednesday,2008
242,"Paris, Texas",1984
243,Ah-ga-ssi,2016
244,The Bourne Ultimatum,2007
245,Guardians of the Galaxy,2014
246,PK,2014
247,Pirates of the Caribbean: The Curse of the Black Pearl,2003
248,Tenkû no shiro Rapyuta,1986
249,The Best Years of Our Lives,1946
250,"Swades: We, the People",2004
